Entreprise,Prix
Accor S.A.,46.52
Airbus,170.14
ArcelorMittal,30.75
Air Liquide,179.58
AXA S.A.,38.74
BNP Paribas,76.60
Bouygues,35.58
Bureau Veritas,29.04
Capgemini,154.65
Carrefour,13.02
Compagnie de Saint-Gobain,103.90
Compagnie Generale des Etablissements Michelin,34.34
Crédit Agricole,16.555
Danone,71.18
Dassault Systèmes,39.57
Edenred,33.66
Engie S.A.,16.835
EssilorLuxottica,271.10
Eurofins Scientific,51.04
HERMES INTL,2522.00
KERING,246.90
Legrand,105.95
L'Oreal,356.25
LVMH Moët Henn. L. Vuitton,633.20
Orange,11.725
Pernod Ricard,101.80
Publicis Groupe,94.30
Renault,47.29
Safran,254.00
Sanofi,109.40
Schneider Electric,223.00
Société Générale,41.965
Stellantis,11.52
STMicroelectronics,23.585
Téléperformance,102.20
Thales,240.20
TotalEnergies,56.70
WFD Unibail Rodamco,75.44
Veolia Environnement,30.49
Vinci,116.95
